dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,end_of_interest_period,source_of_data,data_publicity,doi
49347,MBA3,27489,Aalkistensee,8.7611,48.99372,NA,Lacustrine,Europe,Germany,Europe,53,13,4177.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/YQDR-7H29
49351,HRST13,27270,HRST 13-01,-82.78142,50.764,168,Bog,North America,Canada,North America,46,-52,7429,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/N8J9-2C45
49353,FRICKENS,27491,Frickenhauser See,10.23705,50.40287,NA,Lacustrine,Europe,Germany,Europe,47,32,1835,13,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/0CRS-H055
49356,HORRMOOS,27492,Joldelund-Hörrmoos,9.14598,54.64474,NA,Raised Bog,Europe,Germany,Europe,96,266,4602,16,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/3EQG-7461
49358,DUNEJOLD,27493,Joldelunder Schweiz,9.13051,54.64574,NA,Bog,Europe,Germany,Europe,37,655.5,2236.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/7GYT-HH39
49388,OLDPRIES,27502,Oldenburg-Priesterwiese,10.88231,54.29385,NA,Palustrine,Europe,Germany,Europe,138,833,9565.5,10,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/TH6G-3X21
494,CLRPNDNY,482,Clear Pond,-74.02057,43.74707,NA,Glacial Origin Lake,North America,United States,North America,48,10,1890,48,Varve years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n3999b
49404,LOON,27507,Loon Lake,-110.9533,44.1121,NA,Natural Lake,North America,United States,North America,50,10,14609,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/DT1G-ER22
49406,NDU2,27508,Ndurumu Swamp,29.96667,-2.71667,NA,Mire,Africa,Burundi,Africa,29,1201,6406,7,Calibrated radiocarbon years BP,mixed_curve20,sh_zone_3,20000,Neotoma,open,10.21233/5788-YD02
49414,JOHNS,27510,Johns Lake,-113.8588,48.6367,NA,Natural Lake,North America,United States,North America,39,197,13673.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/P28W-5F27
49416,KTLBG,27511,Kintla Lake Bog,-114.3529,48.936,NA,Natural Lake,North America,United States,North America,40,652,13802.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/RFWE-YG71
49419,BLK13,27512,Black Lake,-114.3283,47.8602,NA,Natural Lake,North America,United States,North America,46,-40,7316,20,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/XFZ5-MX23
49421,YL92-1A,27513,Yellowstone Lake,-110.5825,44.2766,NA,Natural Lake,North America,United States,North America,54,259.5,13353.5,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/5K5Z-4082
49430,GROWARDE,27518,Groter Warder,10.41846,54.17131,NA,Mire,Europe,Germany,Europe,40,0,10132,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/0VJA-EV61
49432,PROBSTEN,27519,Probstenwerder,10.29035,54.21785,NA,Mire,Europe,Germany,Europe,50,0,8782.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/TCPG-3286
49434,GEUTINER,27520,Großer Eutiner See,10.63284,54.14263,NA,Lacustrine,Europe,Germany,Europe,151,-58,7958.5,13,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/93WB-DY42
49436,DOSENMOM,27521,Dosenmoor,10.01667,54.13333,NA,Raised Bog,Europe,Germany,Europe,84,196,6089,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/9FEB-NK81
49442,ROTGRABE,27525,Rottgraben,11.06667,47.83333,NA,Mire,Europe,Germany,Europe,76,3930,13336,9,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/9P36-1305
49444,ZELLERSE,27526,Zeller See,9.64465,48.00176,NA,Lacustrine,Europe,Germany,Europe,512,-31,13355,13,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/X0X7-7R57
49451,REDRK,27531,Lower Red Rock Lake,-111.8949,44.6165,NA,Natural Lake,North America,United States,North America,61,2102,17443,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/WF8D-PM30
49466,SCHULZEN,27537,Schulzensee,12.84694,53.24699,NA,Lacustrine,Europe,Germany,Europe,75,8,12591,6,Calendar years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/44DM-6V56
49468,TIEFERSE,27538,Tiefer See,12.28974,53.7914,NA,Lacustrine,Europe,Germany,Europe,84,-41,13562.5,10,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/EE0R-8R52
49474,RUGENSEE,27543,Rugensee,11.37597,53.72396,NA,Lacustrine,Europe,Germany,Europe,164,57,5852.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/1HBG-5R61
49477,THORSBER,27544,Thorsberger Moor,9.77247,54.64245,NA,Bog,Europe,Germany,Europe,96,566.5,9875,16,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/Q6YG-V444
